SALES_DTL_ID,COMP_CODE,DIV_CODE,DOC_TYPE,INVNO,SM_CODE,INVDATE,ITEM_SERIAL,ITEM_CODE,ISCOMBOITEM,IS_REG_ITEM,SIZE,QTY,SALES_RATE,PUR_RATE,ITEM_DISCOUNT,NET_SALES_RATE,ANY_GIFT_ITEM,GIFT_ITEM_DESC,AMOUNT,NET_VALUE,TAX_PRCNT,Sales_Amnt,CST_AMT,CASHIER_CODE,CBU,DOC,MBU,DOM,ISDELETED,DELETEDON,DELETEDBY,VAT_PCT,Unit_Pur_Cost,Stk_Source_Refno,BTDI,DT_BTDI,BTDI_BY,hsn_code,gst_tax_pct,gst_tax_amnt,cgst_tax_amnt,sgst_tax_amnt,igst_tax_amnt,gst_sales_tax_amnt,item_desc
92,C015,DIV19,INC,INC/00000030/19-20/C513A176-6CA3-44FC-B1BB-3DE8B36E66E8,2,00:00.0,1,2057,0,0,9,1,665,0,0,665,0,NULL,665,665,0,0,0,CSH001,joypur,04:15.3,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,31.67,15.83,15.83,0,633.33,Footwear-Lth
93,C015,DIV19,INC,INC/00000031/19-20/FFBAB058-C07E-4597-8BCE-54383729DEF6,8,00:00.0,1,3634,0,1,1,1,33,0,0,33,0,NULL,33,33,0,0,0,CSH001,joypur,04:49.5,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,5.03,2.52,2.52,0,27.97,Polish
94,C015,DIV19,INC,INC/00000031/19-20/FFBAB058-C07E-4597-8BCE-54383729DEF6,8,00:00.0,2,19216,0,0,1,1,50,0,0,50,0,NULL,50,50,0,0,0,CSH001,joypur,04:49.5,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,96039000,18,7.63,3.81,3.81,0,42.37,Brush
95,C015,DIV19,INC,INC/00000032/19-20/FC621B45-FC97-4B54-B971-BC9954F2A64A,7,00:00.0,1,82453,0,1,8,1,585,0,0,585,0,NULL,585,585,0,0,0,CSH001,joypur,05:43.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,27.86,13.93,13.93,0,557.14,Footwear-Lth
96,C015,DIV19,INC,INC/00000032/19-20/FC621B45-FC97-4B54-B971-BC9954F2A64A,10,00:00.0,2,63794,0,1,1,1,390,0,0,390,0,NULL,390,390,0,0,0,CSH001,joypur,05:43.6,NULL,NULL,0,NULL,NULL,12,0,NULL,0,NULL,NULL,42022240,12,41.79,20.89,20.89,0,348.21,VanityBag
97,C015,DIV19,INC,INC/00000033/19-20/B1E30668-5DA0-44D9-99A8-05708F9150BF,10,00:00.0,1,12512,0,0,1,2,605,0,0,605,0,NULL,1210,1210,0,0,0,CSH001,joypur,07:43.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42021160,18,184.58,92.29,92.29,0,1025.42,LthBag-Lad
98,C015,DIV19,INC,INC/00000034/19-20/9082C8DE-5B9B-4243-B379-61A0B8478A56,7,00:00.0,1,6193,0,0,9,1,330,0,0,330,0,NULL,330,330,0,0,0,CSH001,joypur,09:55.2,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,15.71,7.86,7.86,0,314.29,Footwear-Syn
99,C015,DIV19,INC,INC/00000034/19-20/9082C8DE-5B9B-4243-B379-61A0B8478A56,7,00:00.0,2,6192,0,0,8,1,330,0,0,330,0,NULL,330,330,0,0,0,CSH001,joypur,09:55.2,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,15.71,7.86,7.86,0,314.29,Footwear-Syn
100,C015,DIV19,INC,INC/00000034/19-20/9082C8DE-5B9B-4243-B379-61A0B8478A56,7,00:00.0,3,74674,0,1,10,1,499,0,0,499,0,NULL,499,499,0,0,0,CSH001,joypur,09:55.2,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,23.76,11.88,11.88,0,475.24,Footwear-Lth
101,C015,DIV19,INC,INC/00000035/19-20/68FAF8F0-22BF-4B34-BFFD-B2F11CACB2F5,6,00:00.0,1,69632,0,0,6,1,280,0,0,280,0,NULL,280,280,0,0,0,CSH001,joypur,10:17.0,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,13.33,6.67,6.67,0,266.67,Footwear-Syn
